first_set_11_15,first_set_15_19,second_set_11_15,second_set_15_19,final_set_11_15,final_set_15_19,head_to_head,venue,ranking_seed,recent_match_won,win_loss
1,5,-3,1,0,0,0,0,-2,2,1
7,8,5,8,0,0,0,0,-272,1,1
5,5,3,7,0,0,7,0,-7,4,1
9,10,1,-3,-7,-9,2,0,-14,1,0
-1,1,-2,-4,7,9,1,0,-11,0,1
10,7,4,4,0,0,10,0,-19,1,1
-7,-9,-4,-5,0,0,-1,0,1,-1,0
-6,-5,3,3,-12,-6,2,0,-28,0,0
7,8,-4,3,0,0,2,0,-3,1,1
6,10,4,3,0,0,0,0,-20,3,1
2,4,6,4,0,0,6,0,-9,1,1
8,11,9,9,0,0,0,0,-38,4,1
3,1,5,2,0,0,6,0,-6,1,1
8,11,5,9,0,0,0,0,-19,4,1
8,11,4,7,0,0,0,0,-37,0,1
10,13,9,6,0,0,2,0,-31,-1,1
1,5,5,9,0,0,0,0,-10,-1,1
3,-1,6,10,0,0,0,0,-1043,2,1
11,15,1,-2,7,6,0,0,-66,1,1
2,2,-2,-3,-1,-2,0,0,-4,-2,0
8,11,4,6,0,0,0,0,-41,4,1
3,6,4,1,0,0,0,0,-71,-1,1
3,5,-5,-5,6,6,1,0,-4,4,1
-4,-1,-1,-5,0,0,-9,0,4,0,0
5,6,4,2,0,0,4,0,-18,3,1
-6,-8,3,2,4,4,0,0,14,1,1
6,9,2,5,0,0,0,0,-61,2,1
7,9,10,14,0,0,0,0,-84,-1,1
-10,-13,-5,-5,0,0,0,0,43,1,0
6,10,10,13,0,0,0,0,-222,5,1
8,3,-10,-8,2,3,0,0,-20,0,1
3,4,3,6,0,0,0,0,-22,1,1
7,8,5,9,0,0,0,0,-37,1,1
2,4,-1,-2,0,0,0,0,-23,-1,1
7,10,5,8,0,0,0,0,-18,-2,1
-3,-2,7,5,4,6,0,0,2,2,1
12,13,2,2,0,0,4,0,-27,4,1
-8,-11,-12,-14,0,0,0,0,102,-2,0
8,3,4,4,0,0,0,0,-24,5,1
-7,-4,6,4,-3,-2,0,0,11,-2,0
8,9,10,14,0,0,0,0,-10,2,1
1,2,5,6,0,0,0,0,-23,5,1
-4,-4,-11,-13,0,0,-1,0,22,0,0
-1,-2,2,5,5,7,2,0,-26,5,1
5,6,6,3,0,0,0,0,-2,2,1
-10,-11,-4,-5,0,0,0,0,45,-3,0
8,11,3,4,0,0,3,0,-19,2,1
-7,-7,2,-1,0,0,-2,0,-13,1,0
10,11,4,5,0,0,8,0,3,-2,1
-5,-6,-3,3,3,5,0,0,20,-3,1
5,3,6,3,5,1,0,0,-1,-2,0
-9,-1,4,6,3,5,1,0,-22,0,1
-3,-6,-1,-5,0,0,-3,0,4,-4,0
-7,-6,4,3,5,-1,9,0,-4,0,1
4,6,-2,1,0,0,6,0,-18,3,1
2,4,2,1,0,0,1,0,-9,2,1
-4,-6,-10,-14,0,0,-2,0,8,-2,0
5,5,2,-1,-4,-6,-2,0,6,-4,0
3,7,4,5,0,0,0,0,-18,-1,1
2,3,-7,-7,6,8,1,0,2,2,1
7,9,6,10,0,0,4,0,-25,-1,1
-4,-4,-6,-6,0,0,-2,0,64,-6,0
9,13,5,7,0,0,9,0,-12,3,1
5,5,2,2,0,0,7,0,-18,1,1
8,10,6,8,0,0,0,0,-20,2,1
-5,-7,-6,-9,0,0,-2,0,5,-3,0
-7,-5,7,10,-1,3,8,0,-52,1,1
6,8,10,4,0,0,-1,0,-3,1,1
-9,-7,7,6,-5,-6,4,0,-21,2,0
1,1,2,4,0,0,0,0,-56,1,1
2,-1,5,8,0,0,0,0,-3,2,1
-2,-3,-3,-5,0,0,2,0,3,-3,0
4,7,2,1,0,0,0,0,5,-3,1
9,11,5,4,0,0,0,0,-3,-2,1
-9,-12,-8,-10,0,0,-2,0,33,-5,0
1,1,5,8,0,0,-9,0,-2,1,1
-1,2,6,9,0,0,-1,0,12,-4,1
9,8,2,5,0,0,3,0,-22,0,1
2,5,8,11,0,0,0,0,-15,0,1
-4,-7,-4,-5,0,0,0,0,6,-5,0
4,-3,10,14,8,11,2,0,-52,-1,1
5,4,3,4,0,0,3,0,-82,-3,1
7,4,4,6,0,0,6,0,-7,-1,1
3,2,3,2,1,5,7,0,-4,-5,1
10,12,9,12,0,0,-4,0,-3,-4,1
-1,-1,6,6,0,0,2,0,-5,-2,1
12,15,3,4,0,0,2,0,-127,2,1
9,12,7,10,0,0,0,0,-125,4,1
5,7,11,10,0,0,1,0,-54,4,1
10,14,9,11,0,0,10,0,-8,4,1
6,9,1,4,0,0,8,0,-5,2,1
4,7,4,1,0,0,-2,0,39,2,1
4,-1,-3,-5,2,0,-5,0,32,0,1
6,6,7,10,0,0,0,0,-128,-1,1
5,-1,2,5,-5,-1,-1,0,-22,-3,1
8,6,-6,-9,4,6,1,0,8,-3,1
7,6,9,12,0,0,2,0,-95,0,1
9,7,8,9,0,0,0,0,-99,0,1
5,6,3,3,0,0,1,0,-37,-2,1
7,9,6,7,0,0,0,0,-131,-1,1
9,7,-2,-2,4,-1,1,0,7,-1,0
6,3,11,15,0,0,2,0,-20,0,1
3,2,-5,-7,9,9,1,0,-87,0,1
-7,-1,3,5,4,6,-2,0,18,-3,1
-6,-1,8,9,11,14,2,0,-14,1,1
5,-1,6,-1,-4,2,-7,0,30,0,1
-4,-5,3,4,3,2,0,0,-61,-3,1
11,10,7,10,0,0,0,-1,-59,0,1
-3,-4,10,12,6,3,-1,0,-32,2,1
-6,-6,5,5,8,8,6,0,-9,1,1
2,4,2,1,0,0,5,0,-5,2,1
2,3,3,5,0,0,4,0,6,1,1
1,2,13,16,0,0,4,0,-92,2,1
4,2,6,8,0,0,4,-1,-56,4,1
3,5,8,12,0,0,0,0,-101,-2,1
1,-1,7,10,0,0,0,0,-13,-2,1
-1,1,-1,2,0,0,0,0,-25,0,1
4,3,3,1,0,0,2,0,-89,1,1
2,5,7,5,6,9,0,0,-34,1,1
8,7,6,9,0,0,0,0,-63,0,1
9,10,6,3,0,0,2,0,-55,4,1
4,4,8,5,0,0,5,0,6,0,1
3,5,8,3,0,0,0,0,-71,-2,1
9,6,9,12,0,0,0,0,-122,0,1
3,5,-2,-3,7,8,3,0,-10,1,1
3,6,10,5,0,0,3,0,-7,-4,1
6,6,-8,-3,-4,3,3,0,-18,0,1
2,2,5,8,0,0,5,0,-55,-2,1
1,3,13,12,0,0,0,0,-35,0,1
8,-1,8,8,12,13,0,0,-96,0,1
-1,2,7,9,0,0,0,0,-30,-1,1
11,10,7,9,0,0,2,0,-80,1,1
9,6,9,12,0,0,0,0,-69,-1,1
5,8,-6,-10,1,5,0,0,-77,5,1
-2,-4,4,6,6,6,3,0,-15,5,1
-2,-5,5,9,5,8,2,0,-13,3,1
8,9,4,6,0,0,0,0,-91,-3,1
-8,-12,6,6,5,7,0,0,-59,0,1
6,9,1,-3,10,13,0,0,-46,5,1
4,3,3,5,0,0,4,0,-4,0,1
9,3,-3,-5,1,5,5,0,4,5,1
-9,-7,3,2,8,10,-5,0,-5,3,1
1,1,-2,-2,1,-2,0,0,3,3,1
4,7,7,11,0,0,0,0,-14,2,1
11,13,10,12,0,0,0,0,-63,-2,1
6,7,4,3,0,0,0,0,-29,-3,1
5,6,5,6,0,0,0,0,-48,0,1
1,1,1,2,0,0,-6,0,8,-2,1
-7,-6,2,3,9,10,2,0,1,-3,1
7,10,-1,-2,0,0,0,0,-91,0,1
11,14,5,7,0,0,0,0,-76,5,1
-2,-4,6,7,6,10,0,0,2,4,1
10,12,5,6,0,0,3,0,-49,1,1
5,7,-1,2,0,0,3,0,-310,0,1
10,7,4,7,0,0,0,1,-19,2,1
8,7,-6,-5,5,6,2,1,21,2,1
4,7,-4,-3,7,9,2,0,-70,3,1
4,4,1,2,0,0,2,0,-26,2,1
4,7,6,6,0,0,0,0,-57,-3,1
-2,-1,-2,3,0,0,4,0,-46,3,1
-4,-3,6,9,1,3,1,0,7,0,1
-3,-4,4,3,6,5,-1,0,9,3,1
10,14,8,12,0,0,8,0,-35,0,1
12,13,6,9,0,0,0,0,-41,-5,1
12,14,14,17,0,0,0,0,-10,0,1
10,12,7,7,0,0,0,0,-13,-2,1
6,9,6,7,0,0,1,0,-5,5,1
3,7,-6,-6,1,2,0,0,34,5,1
6,9,6,8,0,0,4,0,-25,-1,1
-5,1,2,4,0,0,2,0,10,2,1
-3,1,-4,-5,6,7,8,-1,-15,-1,1
8,9,8,11,0,0,4,0,-55,3,1
8,7,-1,-2,2,-2,2,0,-10,2,1
7,6,6,7,0,0,4,0,-38,2,1
-2,1,-2,2,3,4,4,0,-9,2,1
10,8,8,10,0,0,-3,0,-1,-1,1
6,6,12,9,0,0,0,0,-5,0,1
13,17,12,16,0,0,0,0,-38,0,1
-1,2,1,2,0,0,0,0,-28,-3,1
3,-1,4,8,0,0,0,0,290,0,1
11,15,5,7,0,0,1,0,-36,2,1
5,9,11,13,0,0,0,0,-366,5,1
9,8,13,12,0,0,2,0,-6,4,1
-5,-6,6,11,9,8,0,0,-26,-5,1
7,11,-1,3,0,0,0,0,-38,2,1
2,5,5,4,0,0,0,0,-22,0,1
-2,-2,3,3,3,3,-2,0,29,-1,1
6,3,5,7,0,0,0,0,14,0,1
5,7,2,4,0,0,0,0,-22,-2,1
6,8,4,4,0,0,-2,0,26,-5,1
1,4,8,9,0,0,0,0,-50,3,1
2,-1,3,3,7,6,0,0,-7,1,1
2,4,2,3,0,0,0,0,-24,1,1
-1,1,-5,-1,7,9,2,0,-13,-1,1
-1,1,9,9,9,8,0,0,-21,1,1
-3,-6,5,9,2,3,-1,0,-7,0,1
-5,-8,3,3,5,2,-3,0,-3,1,1
10,12,5,7,0,0,0,0,-141,-4,1
3,5,-6,-9,1,2,0,0,-45,0,1
11,13,9,7,0,0,0,0,-10,1,1
8,12,10,10,0,0,0,0,-42,-1,1
8,11,9,12,0,0,0,0,-30,1,1
7,8,-4,-5,12,12,0,0,-33,-1,1
4,2,4,4,0,0,2,0,-7,-5,1
1,-1,3,4,6,10,2,0,-30,0,1
2,2,-7,-2,6,5,-4,0,-5,5,1
4,7,-2,1,0,0,2,0,-3,5,1
5,7,-1,1,0,0,2,0,-7,4,1
5,6,-3,2,0,0,0,1,8,1,1
-2,-1,2,1,2,5,0,0,-19,-1,1
2,6,9,8,0,0,0,0,-25,0,1
5,8,4,7,0,0,2,0,-4,-4,1
9,13,-2,3,0,0,2,0,-51,0,1
2,3,8,10,0,0,-3,0,-1,0,1
4,6,-2,2,5,7,0,0,-7,-1,1
-1,-3,7,8,8,9,0,0,23,1,1
7,6,3,4,0,0,0,0,-42,2,1
5,4,2,3,0,0,2,0,-35,-1,1
13,17,12,16,0,0,0,0,-67,3,1
6,8,6,8,0,0,0,0,-27,3,1
9,10,5,7,0,0,0,0,-47,0,1
8,5,4,8,0,0,0,-1,-44,4,1
10,12,7,4,0,0,0,0,-20,2,1
6,7,5,8,0,0,0,0,-27,1,1
-5,-2,9,9,2,1,-2,0,6,-1,1
2,4,2,1,0,0,-2,0,2,2,1
10,9,4,4,0,0,0,0,-22,3,1
1,-1,5,9,0,0,0,0,24,-3,1
5,2,2,4,0,0,0,0,50,2,1
6,3,-4,-5,5,4,0,0,41,-1,1
-3,-5,3,7,6,5,0,0,13,0,1
8,7,5,8,0,0,0,0,-25,4,1
-1,2,-5,-9,5,6,0,0,6,3,1
5,7,3,-3,3,2,0,0,-7,-2,1
1,1,-2,-5,2,4,3,0,-23,4,1
-4,-1,-1,4,0,0,3,0,-11,2,1
10,14,-6,-2,2,2,2,0,-5,1,1
4,6,7,6,0,0,0,0,-45,3,1
5,7,1,3,0,0,0,0,-26,1,1
5,7,-6,2,0,0,4,0,-12,2,1
4,4,3,5,0,0,0,0,-1,2,1
-5,2,5,4,0,0,0,0,3,-3,1
-3,1,-1,-4,9,8,0,0,-5,-1,1
9,1,7,8,0,0,0,0,-28,2,1
1,2,5,4,0,0,0,-1,-17,2,1
-1,-1,7,6,3,4,3,0,-25,0,1
13,16,5,8,0,0,1,0,3,3,1
2,5,2,-2,-4,-2,0,0,6,2,1
1,3,4,1,8,8,-7,0,7,-1,1
10,12,5,3,0,0,0,0,-36,0,1
12,16,11,14,0,0,0,0,-44,0,1
12,12,2,3,0,0,0,0,-30,-1,1
-4,-7,7,4,3,1,0,0,-50,-1,1
8,6,8,10,0,0,4,0,-19,0,1
3,5,6,4,0,0,0,0,36,-2,1
6,8,9,10,0,0,0,-1,-33,0,1
10,13,-1,-5,-1,2,0,0,-13,2,1
4,6,1,-2,0,0,4,0,-35,0,1
3,5,8,12,0,0,0,0,-25,1,1
-6,-8,7,6,11,14,0,0,20,-1,1
5,4,5,8,0,0,0,0,-26,-3,1
4,2,10,10,0,0,2,0,-54,0,1
4,5,3,3,0,0,1,0,-65,0,1
7,11,-6,1,0,0,0,0,-60,-2,1
6,9,13,15,0,0,0,0,-77,5,1
1,-2,2,5,-4,-1,10,0,-9,4,1
5,7,13,3,-1,2,-1,0,-13,1,1
8,7,10,14,0,0,0,0,-52,3,1
8,7,-5,-7,1,-1,-1,0,-4,-2,1
6,8,-2,3,0,0,1,0,-24,-1,1
3,7,12,15,0,0,0,0,-75,0,1
11,13,6,7,0,0,0,0,-45,-1,1
-3,-2,8,7,-1,-2,3,0,-9,-2,1
7,9,3,6,0,0,0,0,-22,0,1
1,4,-4,-3,0,0,0,0,-10,0,1
9,12,10,9,0,0,0,0,-64,5,1
5,7,7,8,0,0,0,0,-34,-1,1
-1,-1,5,5,7,8,6,0,-32,0,1
5,-1,4,5,4,2,-1,0,-10,-3,1
9,4,5,6,0,0,3,0,-7,-1,1
-3,-5,5,4,10,10,0,0,2,-5,1
6,10,-1,2,0,0,0,0,-1,0,1
-7,-5,-3,-2,13,10,0,0,7,0,1
8,11,8,10,0,0,0,0,-24,-1,1
8,4,8,11,0,0,0,0,-22,0,1
6,8,10,11,0,0,0,0,-32,-1,1
10,8,-3,2,0,0,0,0,-63,0,1
8,7,-2,-2,4,6,3,0,8,1,1
6,1,-1,3,0,0,0,0,-63,-2,1
4,7,-3,-7,-3,3,0,0,17,-1,1
2,6,-8,-10,-1,1,0,0,-10,-1,1
10,12,-3,-4,6,6,0,0,-36,4,1
-5,-7,9,6,7,5,0,0,-1,2,1
-4,-1,2,4,0,0,0,0,26,1,1
6,7,3,2,0,0,4,0,-29,1,1
6,7,-2,-3,3,7,-6,0,8,0,1
7,6,-2,1,0,0,2,0,22,0,1
2,3,5,5,0,0,0,-1,-89,0,1
-1,3,7,10,0,0,2,0,-44,0,1
4,6,1,4,0,0,-1,0,-7,-1,1
6,7,9,11,0,0,2,0,-22,-4,1
3,5,4,2,4,4,0,0,-4,0,1
7,9,10,10,0,0,0,0,-46,3,1
2,-1,3,3,-1,1,0,0,-8,4,1
8,8,1,1,0,0,2,0,-28,0,1
5,7,4,6,0,0,0,0,25,-2,1
4,6,12,14,0,0,0,0,-22,0,1
3,5,1,-1,12,15,0,0,-43,3,1
6,7,3,3,0,0,0,0,5,1,1
1,4,-3,3,10,13,0,0,-31,-1,1
5,4,-5,-2,2,5,0,0,-55,0,1
11,13,-1,4,0,0,0,0,-74,5,1
7,7,3,3,0,0,6,0,-13,5,1
4,3,5,9,0,0,5,0,-6,1,1
8,6,3,3,0,0,9,0,-4,3,1
7,10,6,7,0,0,0,0,-49,2,1
4,4,3,3,0,0,4,0,-6,1,1
-2,-3,5,7,1,4,-1,0,-7,1,1
10,13,5,8,0,0,0,0,-38,0,1
6,6,-3,-3,2,4,0,0,19,0,1
-9,-12,-2,-3,0,0,-3,0,6,1,0
6,7,1,5,0,0,0,0,5,-2,1
6,7,3,2,3,1,-1,0,17,0,1
7,11,5,8,0,0,0,0,39,-3,1
-9,-9,-1,1,-3,1,-3,0,76,5,1
9,11,6,9,0,0,0,0,-144,4,1
3,3,-3,3,0,0,0,0,-56,2,1
8,10,12,15,0,0,0,0,-236,0,1
2,6,6,7,0,0,0,0,-232,0,1
2,3,11,15,0,0,8,0,-20,1,1
6,7,1,5,0,0,0,0,-102,1,1
6,7,3,1,0,0,0,0,-38,-1,1
2,6,6,7,0,0,2,0,-194,3,1
-1,2,6,8,0,0,0,0,-140,3,1
6,8,5,6,0,0,0,0,-16,1,1
8,11,12,14,0,0,0,0,-228,2,1
11,14,5,7,0,0,0,0,-255,-1,1
9,11,6,10,0,0,5,0,-4,1,1
9,9,5,6,0,0,0,0,-40,1,1
7,10,-5,-5,6,7,0,0,-13,-1,1
5,4,2,1,4,5,0,0,-62,0,1
-5,-3,8,11,9,11,1,0,-94,5,1
11,14,12,14,0,0,0,0,-217,2,1
5,6,8,11,0,0,0,0,-11,-1,1
6,9,11,12,0,0,0,0,-203,2,1
8,12,5,5,0,0,0,0,-93,5,1
8,8,-2,2,0,0,0,0,-57,-3,1
9,13,7,6,0,0,0,0,-1474,3,1
10,13,10,11,0,0,0,0,-284,-1,1
5,5,5,5,0,0,0,0,-28,-3,1
10,12,8,9,0,0,0,0,-297,0,1
-1,-2,5,9,7,7,8,-1,-25,2,1
-2,3,-2,-1,1,4,0,-1,1,0,1
-4,-2,-4,-7,0,0,2,-1,91,-2,0
-1,-2,-1,2,4,3,0,-1,133,1,1
-5,-3,1,-2,0,0,2,-1,166,-1,0
7,11,7,10,0,0,0,0,-28,-4,1
3,5,5,6,0,0,0,0,-207,-1,1
9,11,13,14,0,0,0,0,-169,0,1
13,11,4,6,0,0,1,-1,-14,2,1
-2,-5,9,11,-1,1,-2,-1,14,-2,1
-1,2,8,6,0,0,1,-1,36,-1,1
4,4,-1,3,0,0,0,0,9,-1,0
-4,-7,-1,2,0,0,-3,0,-113,4,0
6,8,-5,-1,8,6,0,0,-163,3,1
8,8,11,8,6,8,0,0,-130,0,1
7,6,1,4,0,0,0,1,-43,-3,1
2,4,4,4,0,0,3,1,-155,-2,1
2,4,5,7,0,0,0,1,-7,-3,1
6,8,5,7,0,0,0,1,-285,0,1
-2,-5,7,10,5,5,7,0,3,3,1
4,4,10,11,0,0,3,0,-5,-1,1
-4,-6,-6,-7,0,0,0,0,-21,-3,0
1,1,6,7,0,0,0,0,-85,2,1
4,5,4,5,0,0,4,0,-21,0,1
6,6,-2,2,0,0,0,0,-106,0,1
2,4,1,2,0,0,2,0,-21,0,1
4,5,5,6,0,0,-1,0,177,1,1
1,2,3,6,0,0,0,0,-71,5,1
-4,-5,6,9,1,-2,3,0,-23,2,0
4,1,-8,-11,7,11,0,0,-76,0,1
-8,-5,1,-2,3,1,0,0,-3,0,1
4,-1,6,10,6,9,0,0,-89,1,1
-3,-4,1,1,0,0,1,0,-3,0,0
6,9,2,5,0,0,0,0,-25,-2,1
1,3,3,6,0,0,1,0,-10,-2,1
7,8,-4,-2,2,3,4,0,6,3,1
-2,-3,-4,-1,4,4,1,0,-2,2,1
-2,2,2,3,0,0,0,0,2,-1,1
5,8,4,4,0,0,3,0,-266,0,1
6,4,11,14,0,0,0,0,-74,2,1
3,6,-1,2,6,7,0,0,-71,1,1
6,7,-4,-4,5,6,0,0,-83,3,1
9,13,11,13,0,0,0,0,-46,2,1
1,2,-4,-1,0,0,4,0,4,-1,1
3,6,5,3,0,0,0,0,-28,0,1
12,15,11,11,0,0,0,0,-346,2,1
13,14,7,10,0,0,0,0,-336,1,1
12,16,12,15,0,0,0,0,-108,4,1
10,12,7,9,0,0,0,0,-348,3,1
5,6,14,17,0,0,5,0,-52,4,1
4,3,7,8,0,0,6,0,-5,1,1
2,4,6,9,0,0,0,0,-50,0,1
10,12,7,9,0,0,1,0,-53,4,1
10,13,7,7,0,0,0,0,-302,-3,1
9,12,11,10,0,0,0,0,-301,1,1
6,8,7,6,0,0,0,0,-76,4,1
6,6,10,11,0,0,0,0,-320,-1,1
-6,-10,-4,-2,0,0,0,0,-6,2,0
4,-1,9,-1,0,0,0,0,-22,0,0
1,-2,8,8,5,5,-1,0,-9,2,1
-9,-3,1,3,8,10,5,0,1,2,1
8,11,4,7,0,0,0,0,-299,0,1
13,15,9,11,0,0,0,0,-327,0,1
14,16,8,10,0,0,0,0,-51,1,1
5,3,-9,-10,9,6,9,0,-2,2,1
3,3,6,3,0,0,1,0,1,1,1
5,5,1,-2,0,0,2,0,-8,0,1
9,5,-8,-6,-2,-2,0,0,-1,3,1
7,8,2,1,0,0,1,0,-19,4,1
9,12,-5,-5,5,4,4,0,-17,0,1
5,6,8,9,0,0,0,0,-12,2,1
-5,-6,-3,-3,0,0,0,0,-26,-2,0
2,4,9,11,0,0,0,0,-43,4,1
3,4,1,3,0,0,0,0,-79,0,1
-5,-5,-2,-3,0,0,-1,0,4,-2,0
-7,2,-1,1,7,6,0,0,-14,3,1
5,8,-8,-9,8,10,1,0,-31,4,1
5,1,3,4,0,0,-3,0,-7,3,1
8,7,-5,-3,-6,-6,-5,0,2,-2,0
-2,-2,6,8,3,5,-3,0,-9,-3,1
1,2,-5,-3,6,8,4,0,-48,2,1
4,5,8,11,0,0,8,0,11,1,1
-3,-3,1,4,4,5,0,0,1,3,1
-1,3,8,9,0,0,0,0,-20,-3,1
-7,-10,-3,-4,0,0,6,0,-8,-1,0
9,9,4,4,0,0,-1,0,-6,1,1
7,8,3,2,0,0,-1,0,-10,1,1
-3,2,10,13,0,0,0,0,-3,1,1
5,6,2,2,0,0,0,0,-39,0,1
10,12,12,14,0,0,0,0,-129,4,1
5,3,11,14,0,0,-1,-1,-31,2,1
4,3,-2,2,0,0,10,0,-9,3,1
12,15,13,16,0,0,0,0,-69,5,1
1,2,7,7,0,0,0,0,25,4,1
3,6,1,4,0,0,2,0,6,5,1
4,7,8,7,0,0,6,1,-26,-4,1
4,4,5,8,0,0,4,1,-12,-1,1
2,2,-3,2,0,0,4,1,-6,-2,1
4,3,5,8,0,0,0,1,7,-4,1
10,9,11,14,0,0,0,0,-88,0,1
-1,-2,8,8,0,0,0,1,-50,2,1
1,2,8,7,0,0,0,0,-16,1,1
-9,-12,2,4,3,4,0,0,28,-1,1
7,9,8,8,0,0,0,0,-64,0,1
4,3,-1,2,0,0,-2,0,4,-1,1
3,7,4,5,0,0,2,1,-22,0,1
5,5,9,8,0,0,2,1,-10,0,1
9,10,9,4,0,0,-2,0,25,1,1
5,5,2,4,0,0,1,0,-12,-1,1
4,2,1,1,0,0,3,0,33,1,1
1,2,-1,1,4,2,-2,0,11,-4,1
-8,-9,-1,2,6,9,-5,0,-60,2,1
4,7,-2,-4,1,5,5,0,28,-1,1
5,4,5,7,0,0,0,0,-68,1,1
9,10,8,8,0,0,0,0,-98,1,1
3,7,7,8,0,0,0,0,-89,-1,1
6,6,7,9,0,0,-5,0,3,-1,1
10,10,12,15,0,0,2,0,-40,-1,1
8,8,7,9,0,0,0,0,-21,0,1
7,7,7,10,0,0,0,1,-90,-1,1
6,3,7,11,0,0,0,1,-26,1,1
3,4,7,10,0,0,4,0,-6,3,1
-1,-4,8,5,-8,2,4,1,-4,-2,1
5,8,2,6,0,0,-7,0,-5,3,1
-1,4,5,3,0,0,0,0,-82,-2,1
3,6,-5,-9,2,5,0,0,-43,-1,1
4,6,8,6,0,0,0,0,-60,3,1
7,6,9,8,0,0,0,0,-74,3,1
11,14,9,10,0,0,0,0,-130,3,1
-6,-10,3,2,8,12,0,0,-10,4,1
9,13,4,7,0,0,1,0,-20,5,1
2,4,10,14,0,0,0,0,-32,4,1
4,8,7,7,0,0,1,-1,3,2,1
2,5,-8,-7,-2,3,1,0,42,1,1
-6,-5,9,7,8,8,1,0,-47,1,1
6,6,-1,-2,10,12,2,0,-79,1,1
7,7,4,5,0,0,-4,0,8,-3,1
4,7,7,11,0,0,0,0,-114,1,1
3,5,1,1,0,0,0,0,-78,-1,1
2,6,3,2,0,0,0,0,-78,2,1
6,6,13,17,0,0,-1,0,-77,0,1
10,7,4,3,0,0,2,0,5,0,1
7,11,8,10,0,0,0,0,-76,5,1
10,12,4,3,0,0,4,0,-23,5,1
8,10,12,13,0,0,0,0,-32,5,1
4,5,1,1,0,0,-5,0,-25,0,1
10,9,11,12,0,0,1,0,-35,3,1
-1,3,6,7,0,0,0,0,-22,4,1
1,3,-3,-4,0,0,-3,0,23,0,1
8,10,-4,-2,7,6,-1,1,6,0,1
-5,-1,12,8,0,0,2,1,16,1,1
2,6,6,3,0,0,-2,0,14,1,1
7,9,7,9,0,0,0,0,-44,3,1
3,3,-6,-1,0,0,1,1,-17,1,1
7,9,-3,-3,8,8,2,0,-27,3,1
9,9,3,4,0,0,0,0,-80,4,1
-1,3,4,5,0,0,4,0,-11,4,1
5,7,3,3,0,0,0,0,38,0,1
7,10,1,3,7,7,0,0,-1,0,1
8,8,1,2,0,0,5,1,-28,3,1
8,9,5,9,0,0,2,1,-71,2,1
1,2,-11,-13,5,7,-8,1,5,-2,1
8,7,4,2,0,0,3,0,-48,2,1
4,4,1,2,0,0,2,0,-26,2,1
8,11,7,8,0,0,0,0,-54,2,1
9,10,9,11,0,0,7,0,-16,-1,1
10,14,10,7,0,0,1,0,-8,-1,1
12,13,6,10,0,0,3,0,-3,-1,1
-4,-7,9,6,7,7,3,-1,1,-3,1
